LOTEAMENTO MARINONI,1,4,4
CIDADE JARDIM,1,5,3
AVENIDA IGUACU,1,6,6
CRUZEIRO,1,6,4
BONECA DO IGUACU,1,6,8
SAO PEDRO,1,9,6
SAO CRISTOVAO,1,4,5
CAPELA VELHA,1,8,6
SILVEIRA DA MOTTA,1,7,5
VILA OFICINAS,1,363,237
BRAGA,1,9,7
TANGUA,1,9,10
SAO DOMINGOS,1,8,6
ESTANCIA PINHAIS,1,8,9
MONZA,1,5,6
LAMENHA GRANDE,1,7,9
SANTO ANTONIO,2,11,9
THOMAZ COELHO,2,9,5
EMILIANO PERNETA,2,4,9
SAO GABRIEL,2,9,6
COSTEIRA,2,5,6
WEISSOPOLIS,2,7,4
CAMPO PEQUENO,3,4,6
GUARANI,3,6,4
ARISTOCRATA,3,9,8
AFONSO PENA,4,10,7
CACHOEIRA,4,277,15
GUABIROTUBA,7,311,270
